ITEM_ID,GENRES,YEAR,CREATION_TIMESTAMP
1,Adventure|Animation|Children|Comedy|Fantasy,1995,1640995200
2,Adventure|Children|Fantasy,1995,1640995200
3,Comedy|Romance,1995,1640995200
4,Comedy|Drama|Romance,1995,1640995200
5,Comedy,1995,1640995200
6,Action|Crime|Thriller,1995,1640995200
7,Comedy|Romance,1995,1640995200
8,Adventure|Children,1995,1640995200
9,Action,1995,1640995200
10,Action|Adventure|Thriller,1995,1640995200
11,Comedy|Drama|Romance,1995,1640995200
12,Comedy|Horror,1995,1640995200
13,Adventure|Animation|Children,1995,1640995200
14,Drama,1995,1640995200
15,Action|Adventure|Romance,1995,1640995200
16,Crime|Drama,1995,1640995200
17,Drama|Romance,1995,1640995200
18,Comedy,1995,1640995200
19,Comedy,1995,1640995200
20,Action|Comedy|Crime|Drama|Thriller,1995,1640995200
21,Comedy|Crime|Thriller,1995,1640995200
22,Crime|Drama|Horror|Mystery|Thriller,1995,1640995200
23,Action|Crime|Thriller,1995,1640995200
24,Drama|Sci-Fi,1995,1640995200
25,Drama|Romance,1995,1640995200
26,Drama,1995,1640995200
27,Children|Drama,1995,1640995200
28,Drama|Romance,1995,1640995200
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,1640995200
30,Crime|Drama,1995,1640995200
31,Drama,1995,1640995200
32,Mystery|Sci-Fi|Thriller,1995,1640995200
34,Children|Drama,1995,1640995200
36,Crime|Drama,1995,1640995200
38,Children|Comedy,1995,1640995200
39,Comedy|Romance,1995,1640995200
40,Drama,1995,1640995200
41,Drama|War,1995,1640995200
42,Action|Crime|Drama,1995,1640995200
43,Drama,1995,1640995200
44,Action|Adventure|Fantasy,1995,1640995200
45,Comedy|Drama|Thriller,1995,1640995200
46,Drama|Romance,1995,1640995200
47,Mystery|Thriller,1995,1640995200
48,Animation|Children|Drama|Musical|Romance,1995,1640995200
49,Drama|Romance,1995,1640995200
50,Crime|Mystery|Thriller,1995,1640995200
52,Comedy|Drama|Romance,1995,1640995200
53,Adventure|Drama,1994,1640995200
54,Children|Comedy,1995,1640995200
55,Drama,1995,1640995200
57,Drama,1995,1640995200
58,Comedy|Drama|Romance,1994,1640995200
60,Adventure|Children|Fantasy,1995,1640995200
61,Drama|Thriller,1996,1640995200
62,Drama,1995,1640995200
63,Comedy|Crime,1996,1640995200
64,Comedy|Romance,1996,1640995200
65,Comedy,1996,1640995200
66,Action|Sci-Fi|Thriller,1996,1640995200
68,Comedy|Romance,1995,1640995200
69,Comedy,1995,1640995200
70,Action|Comedy|Horror|Thriller,1996,1640995200
71,Action,1995,1640995200
72,Comedy|Drama,1995,1640995200
73,Drama|War,1995,1640995200
74,Drama|Romance,1996,1640995200
75,Comedy|Drama,1996,1640995200
76,Action|Sci-Fi|Thriller,1995,1640995200
77,Documentary,1995,1640995200
78,Action|Crime|Drama|Thriller,1995,1640995200
79,Drama|Thriller,1996,1640995200
80,Children|Drama,1995,1640995200
81,Crime|Drama|Romance,1995,1640995200
82,Comedy|Drama,1995,1640995200
83,Drama|Romance,1995,1640995200
85,Drama|Romance,1995,1640995200
86,Action|Adventure|Drama,1996,1640995200
87,Children|Comedy,1996,1640995200
88,Comedy,1996,1640995200
89,Action|Thriller,1995,1640995200
92,Drama|Horror|Thriller,1996,1640995200
93,Comedy|Horror|Romance,1995,1640995200
94,Comedy|Drama|Romance,1996,1640995200
95,Action|Adventure|Thriller,1996,1640995200
96,Comedy|Drama,1995,1640995200
97,Crime|Drama,1995,1640995200
99,Documentary,1995,1640995200
100,Drama|Thriller,1996,1640995200
101,Adventure|Comedy|Crime|Romance,1996,1640995200
102,Comedy,1996,1640995200
103,Mystery|Sci-Fi|Thriller,1996,1640995200
104,Comedy,1996,1640995200
105,Drama|Romance,1995,1640995200
106,Comedy|Drama,1994,1640995200
107,Adventure|Children|Comedy|Musical,1996,1640995200
108,Documentary,1996,1640995200
110,Action|Drama|War,1995,1640995200
111,Crime|Drama|Thriller,1976,1640995200
112,Action|Adventure|Comedy|Crime,1995,1640995200
113,Drama|Mystery,1996,1640995200
116,Documentary,1995,1640995200
117,Crime|Drama,1995,1640995200
118,Comedy|Romance,1996,1640995200
119,Comedy,1995,1640995200
121,Drama,1992,1640995200
122,Comedy|Romance,1992,1640995200
123,Drama|Mystery|Romance,1994,1640995200
125,Comedy,1996,1640995200
126,Adventure|Children|Fantasy,1994,1640995200
128,Documentary,1994,1640995200
129,Comedy|Romance,1996,1640995200
132,Thriller,1995,1640995200
135,Comedy,1996,1640995200
137,Documentary,1995,1640995200
140,Drama|Romance,1996,1640995200
141,Comedy,1996,1640995200
144,Comedy,1995,1640995200
145,Action|Comedy|Crime|Drama|Thriller,1995,1640995200
146,Adventure|Children,1995,1640995200
147,Drama,1995,1640995200
148,Drama,1995,1640995200
149,Crime|Drama|Thriller,1994,1640995200
150,Adventure|Drama|IMAX,1995,1640995200
151,Action|Drama|Romance|War,1995,1640995200
152,Drama|Horror,1995,1640995200
153,Action|Adventure|Comedy|Crime,1995,1640995200
154,Drama,1967,1640995200
155,Adventure|Drama|War,1995,1640995200
156,Comedy|Drama,1995,1640995200
157,Comedy|War,1995,1640995200
158,Adventure|Children,1995,1640995200
159,Crime|Drama|Mystery,1995,1640995200
160,Action|Adventure|Mystery|Sci-Fi,1995,1640995200
161,Drama|Thriller|War,1995,1640995200
162,Documentary,1994,1640995200
163,Action|Romance|Western,1995,1640995200
164,Crime|Film-Noir|Mystery|Thriller,1995,1640995200
165,Action|Crime|Thriller,1995,1640995200
166,Comedy|Crime|Drama,1995,1640995200
168,Action|Drama|Romance,1995,1640995200
169,Adventure|Children|Drama,1995,1640995200
170,Action|Adventure|Crime|Thriller,1995,1640995200
171,Comedy|Drama,1995,1640995200
172,Action|Sci-Fi|Thriller,1995,1640995200
173,Action|Crime|Sci-Fi,1995,1640995200
174,Comedy,1995,1640995200
175,Drama,1995,1640995200
176,Comedy,1995,1640995200
177,Horror,1995,1640995200
178,Comedy|Drama,1993,1640995200
179,Drama|Romance,1995,1640995200
180,Comedy|Romance,1995,1640995200
181,Action|Children,1995,1640995200
183,Comedy|Horror|Thriller,1994,1640995200
184,Drama,1994,1640995200
185,Action|Crime|Thriller,1995,1640995200
186,Comedy|Romance,1995,1640995200
187,Comedy,1995,1640995200
188,Fantasy|Horror|Mystery,1995,1640995200
189,Comedy|Fantasy,1995,1640995200
190,Thriller,1995,1640995200
191,Drama|Romance,1995,1640995200
193,Drama,1995,1640995200
194,Comedy|Drama,1995,1640995200
195,Comedy|Drama|Romance,1995,1640995200
196,Horror|Sci-Fi,1995,1640995200
198,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,1640995200
199,Drama|Musical|Romance,1964,1640995200
201,Drama|Fantasy,1995,1640995200
202,Drama|Romance,1995,1640995200
203,Comedy,1995,1640995200
204,Action,1995,1640995200
205,Comedy|Drama,1995,1640995200
206,Documentary,1995,1640995200
207,Drama|Romance,1995,1640995200
208,Action|Adventure|Sci-Fi,1995,1640995200
209,Drama,1995,1640995200
210,Western,1995,1640995200
211,Drama,1994,1640995200
212,Adventure|Comedy|Crime|Mystery,1995,1640995200
213,Drama,1994,1640995200
214,Drama|War,1994,1640995200
215,Drama|Romance,1995,1640995200
216,Comedy,1995,1640995200
217,Drama|Thriller,1995,1640995200
218,Comedy|Drama,1995,1640995200
219,Drama,1995,1640995200
220,Horror,1995,1640995200
222,Drama|Romance,1995,1640995200
223,Comedy,1994,1640995200
224,Comedy|Drama|Romance,1995,1640995200
225,Drama|Thriller,1994,1640995200
227,Action|Thriller,1994,1640995200
228,Comedy,1995,1640995200
229,Drama|Thriller,1994,1640995200
230,Drama|Thriller,1995,1640995200
231,Adventure|Comedy,1994,1640995200
232,Comedy|Drama|Romance,1994,1640995200
