USER_ID,GENDER
1,female
2,male
3,male
4,male
5,female
6,female
7,male
8,female
9,female
10,male
11,male
12,male
13,male
14,male
15,male
16,female
17,female
18,male
19,male
20,female
21,male
22,female
23,female
24,male
25,female
26,male
27,male
28,male
29,female
30,male
31,male
32,male
33,male
34,female
35,male
36,female
37,male
38,female
39,female
40,female
41,female
42,female
43,female
44,female
45,female
46,male
47,male
48,male
49,male
50,male
51,female
52,female
53,female
54,female
55,male
56,female
57,male
58,male
59,male
60,male
61,female
62,female
63,female
64,female
65,male
66,male
67,male
68,female
69,female
70,female
71,male
72,female
73,female
74,female
75,female
76,male
77,male
78,male
79,male
80,female
81,female
82,female
83,male
84,female
85,male
86,male
87,male
88,female
89,male
90,male
91,male
92,male
93,male
94,male
95,male
96,female
97,male
98,female
99,male
100,male
101,female
102,male
103,male
104,male
105,female
106,male
107,female
108,male
109,male
110,male
111,male
112,female
113,male
114,male
115,female
116,male
117,female
118,female
119,male
120,female
121,male
122,male
123,male
124,female
125,male
126,female
127,male
128,female
129,male
130,female
131,female
132,male
133,female
134,female
135,female
136,female
137,female
138,female
139,male
140,male
141,female
142,male
143,male
144,male
145,male
146,male
147,male
148,male
149,male
150,female
151,female
152,female
153,female
154,female
155,female
156,male
157,male
158,female
159,male
160,male
161,male
162,male
163,female
164,female
165,female
166,male
167,male
168,male
169,female
170,male
171,male
172,male
173,male
174,female
175,female
176,female
177,female
178,male
179,female
180,female
181,male
182,male
183,female
184,male
185,female
186,female
187,female
188,female
189,male
190,male
191,male
192,male
193,female
194,female
195,male
196,male
197,female
198,male
199,male
200,male
201,female
202,female
203,male
204,male
205,female
206,female
207,male
208,female
209,male
210,female
211,male
212,female
213,female
214,female
215,male
216,male
217,female
218,female
219,female
220,male
221,female
222,female
223,male
224,female
225,male
226,male
227,female
228,female
229,male
230,male
231,male
232,male
233,male
234,female
235,female
236,female
237,male
238,female
239,female
240,female
241,female
242,female
243,male
244,male
245,female
246,female
247,female
248,male
249,male
250,male
251,male
252,male
253,female
254,male
255,female
256,male
257,female
258,female
259,male
260,male
261,female
262,female
263,female
264,male
265,male
266,female
267,female
268,female
269,male
270,male
271,male
272,male
273,male
274,male
275,female
276,female
277,female
278,male
279,female
280,female
281,female
282,female
283,male
284,male
285,female
286,female
287,male
288,male
289,male
290,female
291,male
292,female
293,male
294,male
295,male
296,female
297,female
298,male
299,female
300,female
301,male
302,female
303,female
304,female
305,female
306,male
307,female
308,male
309,female
310,female
311,male
312,female
313,male
314,male
315,male
316,female
317,female
318,male
319,female
320,male
321,male
322,female
323,male
324,female
325,female
326,male
327,male
328,female
329,female
330,male
331,male
332,female
333,male
334,female
335,male
336,female
337,male
338,female
339,female
340,female
341,male
342,male
343,male
344,female
345,male
346,male
347,male
348,male
349,female
350,female
351,male
352,female
353,male
354,male
355,male
356,female
357,female
358,female
359,female
360,male
361,male
362,female
363,male
364,male
365,male
366,male
367,male
368,female
369,female
370,female
371,female
372,female
373,male
374,male
375,female
376,female
377,male
378,female
379,male
380,male
381,female
382,female
383,male
384,female
385,male
386,male
387,female
388,male
389,female
390,male
391,female
392,male
393,male
394,female
395,male
396,male
397,male
398,male
399,female
400,male
401,female
402,female
403,male
404,female
405,female
406,female
407,male
408,female
409,male
410,female
411,female
412,female
413,male
414,male
415,male
416,female
417,male
418,male
419,female
420,male
421,male
422,male
423,male
424,male
425,male
426,female
427,male
428,male
429,female
430,male
431,male
432,female
433,female
434,female
435,male
436,male
437,male
438,female
439,male
440,female
441,female
443,male
444,male
445,female
446,female
447,male
448,male
449,male
450,male
451,male
452,male
453,female
454,female
455,female
456,male
457,female
458,female
459,male
460,female
461,female
462,female
463,female
464,male
465,female
466,male
467,female
468,female
469,female
470,female
471,female
472,male
473,male
474,female
475,male
476,male
477,female
478,male
479,male
480,male
481,male
482,male
483,female
484,male
485,male
486,female
487,male
488,male
489,female
490,male
491,female
492,male
493,female
494,male
495,female
496,male
497,male
498,male
499,female
500,female
501,female
502,female
503,female
504,male
505,female
506,female
507,male
508,female
509,female
510,male
511,male
512,female
513,male
514,female
515,male
516,female
517,female
518,male
519,female
520,male
521,female
522,male
523,male
524,male
525,male
526,male
527,male
528,female
529,male
530,male
531,male
532,female
533,male
534,male
535,female
536,female
537,male
538,female
539,female
540,male
541,female
542,female
543,male
544,male
545,female
546,male
547,male
548,male
549,female
550,female
551,male
552,male
553,male
554,male
555,male
556,female
557,female
558,male
559,female
560,female
561,male
562,male
563,male
564,male
565,female
566,female
567,male
568,male
569,female
570,male
571,male
572,female
573,male
574,male
575,female
576,male
577,female
578,male
579,male
580,male
581,male
582,female
583,male
584,female
585,male
586,male
587,male
588,male
589,female
590,male
591,female
592,male
593,female
594,male
595,female
596,female
597,female
598,male
599,male
600,female
601,male
602,female
603,male
604,female
605,male
606,female
607,female
608,female
609,female
610,male
